Power Supplies: ADP3334
 Output Voltage:
  Vout = 1.178 ( R1/R2 + 1 )

R1; R2(connect to gnd);    Vout         R parallel(close as possible to 50kΩ)
24.9	88.7		1.5087		19.442
84.5	301		1.5087		65.978
22.1	78.7		1.5088		17.255
30.1	107		1.5094		23.492
95.3	332		1.5161		74.045
78.7	274		1.5164		61.139
52.3	182		1.5165		40.626
54.9	191		1.5166		42.643
60.4	210		1.5168		46.908
30.9	107		1.5182		23.976
107	365		1.5233		82.744
121	412		1.524		93.531
43.2	147		1.5242		33.388
127	432		1.5243		98.147
15.4	52.3		1.5249		11.897
22.1	75.0		1.5251		17.07
24.9	84.5		1.5251		19.233
88.7	301		1.5251		68.511
61.9	210		1.5252		47.808
30.1	100		1.5326		23.136
23.7	78.7		1.5327		18.215
100	332		1.5328		76.852
54.9	182		1.5333		42.177
90.9	301		1.5337		69.816
60.4	200		1.5338		46.39
32.4	107		1.5347		24.869
16.9	54.9		1.5406		12.922
20	64.9		1.541		15.289
127	412		1.5411		97.076
84.5	274		1.5413		64.583
43.2	140		1.5415		33.013
30.9	100		1.542		23.606
64.9	210		1.5421		49.578
93.1	301		1.5424		71.107
52.3	169		1.5426		39.94
61.9	200		1.5426		47.27
33.2	107		1.5435		25.338
30.1	95.3		1.5501		22.875
23.7	75.0		1.5502		18.009
60.4	191		1.5505		45.889
24.9	78.7		1.5507		18.915
75.0	237		1.5508		56.971
95.3	301		1.551		72.383
107	332		1.5577		80.92
52.3	162		1.5583		39.536
20	61.9		1.5586		15.116
16.9	52.3		1.5587		12.773
30.1	93.1		1.5589		22.746
88.7	274		1.5593		67.008
32.4	100		1.5597		24.471
61.9	191		1.5598		46.749
30.9	95.3		1.56		23.334
64.9	200		1.5603		49.0
54.9	169		1.5607		41.439
20	60.4		1.5681		15.025
30.1	90.9		1.5681		22.612
121	365		1.5685		90.874
90.9	274		1.5688		68.256
60.4	182		1.5689		45.35
30.9	93.1		1.569		23.2
24.9	75.0		1.5691		18.694
33.2	100		1.5691		24.925
78.7	237		1.5692		59.081
100	301		1.5694		75.062
54.9	162		1.5772		41.004
30.1	88.7		1.5777		22.474
64.9	191		1.5783		48.44
93.1	274		1.5783		69.489
30.9	90.9		1.5784		23.061
32.4	95.3		1.5785		24.179
61.9	182		1.5786		46.19
43.2	127		1.5787		32.235
22.1	64.9		1.5791		16.486
95.3	274		1.5877		70.707
127	365		1.5879		94.217
32.4	93.1		1.588		24.035
30.9	88.7		1.5884		22.917
33.2	95.3		1.5884		24.622
107	301		1.5968		78.939
52.3	147		1.5971		38.576
30.1	84.5		1.5976		22.194
15.4	43.2		1.5979		11.353
32.4	90.9		1.5979		23.886
84.5	237		1.598		62.291
33.2	93.1		1.5981		24.473
64.9	182		1.5981		47.84
22.1	61.9		1.5986		16.286
43.2	121		1.5986		31.834
75.0	210		1.5987		55.263
60.4	169		1.599		44.497
20	54.9		1.6071		14.66
121	332		1.6073		88.68
100	274		1.6079		73.262
23.7	64.9		1.6082		17.36
33.2	90.9		1.6082		24.318
32.4	88.7		1.6083		23.731
30.9	84.5		1.6088		22.626
22.1	60.4		1.609		16.18
61.9	169		1.6095		45.306
60.4	162		1.6172		43.996
54.9	147		1.6179		39.972
52.3	140		1.6181		38.076
33.2	88.7		1.6189		24.158
88.7	237		1.6189		64.544
78.7	210		1.6195		57.246
75.0	200		1.6197		54.545
61.9	162		1.6281		44.787
20	52.3		1.6285		14.467
30.1	78.7		1.6285		21.773
127	332		1.6286		91.861
23.7	61.9		1.629		17.138
32.4	84.5		1.6297		23.42
90.9	237		1.6298		65.701
24.9	64.9		1.63		17.996
64.9	169		1.6304		46.892
107	274		1.638		76.95
16.9	43.2		1.6388		12.148
54.9	140		1.6399		39.436
23.7	60.4		1.6402		17.021
30.9	78.7		1.6405		22.188
75.0	191		1.6406		53.853
33.2	84.5		1.6408		23.835
93.1	237		1.6408		66.842
78.7	200		1.6415		56.476
64.9	162		1.6499		46.337
30.1	75.0		1.6508		21.48
121	301		1.6515		86.306
95.3	237		1.6517		67.969
24.9	61.9		1.6519		17.757
84.5	210		1.652		60.255
22.1	54.9		1.6522		15.757
43.2	107		1.6536		30.775
60.4	147		1.662		42.81
32.4	78.7		1.663		22.951
52.3	127		1.6631		37.045
30.9	75.0		1.6633		21.884
75.0	182		1.6634		53.113
78.7	191		1.6634		55.735
24.9	60.4		1.6636		17.631
61.9	147		1.674		43.558
140	332		1.6747		98.475
33.2	78.7		1.6749		23.35
100	237		1.675		70.326
127	301		1.675		89.315
88.7	210		1.6756		62.36
84.5	200		1.6757		59.402
22.1	52.3		1.6758		15.535
60.4	140		1.6862		42.196
23.7	54.9		1.6865		16.554
32.4	75.0		1.6869		22.626
43.2	100		1.6869		30.168
52.3	121		1.6872		36.516
54.9	127		1.6872		38.33
78.7	182		1.6874		54.942
90.9	210		1.6879		63.44
64.9	147		1.6981		45.023
121	274		1.6982		83.934
61.9	140		1.6988		42.922
84.5	191		1.6992		58.583
33.2	75.0		1.6995		23.013
93.1	210		1.7002		64.503
88.7	200		1.7004		61.448
75.0	169		1.7008		51.947
107	237		1.7098		73.718
23.7	52.3		1.7118		16.309
43.2	95.3		1.712		29.725
24.9	54.9		1.7123		17.13
54.9	121		1.7125		37.765
95.3	210		1.7126		65.552
90.9	200		1.7134		62.496
20	43.2		1.7234		13.671
75.0	162		1.7234		51.266
127	274		1.724		86.778
64.9	140		1.7241		44.344
30.1	64.9		1.7243		20.563
15.4	33.2		1.7244		10.52
43.2	93.1		1.7246		29.508
84.5	182		1.7249		57.707
88.7	191		1.7251		60.571
140	301		1.7259		95.556
93.1	200		1.7264		63.528
78.7	169		1.7266		53.695
43.2	90.9		1.7378		29.283
15.4	32.4		1.7379		10.438
60.4	127		1.7382		40.933
90.9	191		1.7386		61.589
24.9	52.3		1.7388		16.869
30.9	64.9		1.7389		20.933
100	210		1.739		67.742
95.3	200		1.7393		64.545
78.7	162		1.7503		52.968
30.1	61.9		1.7508		20.252
43.2	88.7		1.7517		29.051
88.7	182		1.7521		59.636
61.9	127		1.7522		41.616
93.1	191		1.7522		62.591
147	301		1.7533		98.766
52.3	107		1.7538		35.129
30.1	60.4		1.765		20.089
15.4	30.9		1.7651		10.278
95.3	191		1.7658		63.578
30.9	61.9		1.766		20.611
60.4	121		1.766		40.289
32.4	64.9		1.7661		21.611
90.9	182		1.7664		60.622
84.5	169		1.767		56.333
100	200		1.767		66.667
16.9	33.2		1.7776		11.199
107	210		1.7782		70.883
